category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W DTECH PW023A,650W / 80 PLUS BRONZE / Full Modular,3Y,1090
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W EINAREX AXIS MASTER L1 WHITE (EXPS-AMH1-650-WH),650W / 80+ Bronze / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1290
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W ITSONAS FROZEN,650W / 80 PLUS BRONZE / Non Modular / Length 150 / 2xCPU / 2xPCIe (6+2 Pin),5Y,1490
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BN,650W / 80 PLUS BRONZE / Non Modular,5Y,1550
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BNL WHITE,650W / 80 PLUS BRONZE / None Modular / Length 150mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),5Y,1550
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W SEGOTEP BN650W ID PCIE 5.1,650W / 80+BRONZE / Non Modular / Length 150mm / 2xCPU / 1xPCIe (16 Pin) / 3xPCIe (6+2 Pin),3Y,1550
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W ANTEC ATOM B650,650W / 80 PLUS BRONZE / Non Modular,3Y,1590
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W THERMALTAKE SMART BX1,650W / 80 PLUS BRONZE / Non Modular,5Y,1690
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W ASUS PRIME,650W / 80+BRONZE / Non Modular / Length 150mm / 1xCPU(4+4 Pin) / 0xPCIe (12 Pin) / 2xPCIe (6+2 Pin),6Y,2090
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W SILVERSTONE ATTIS 650R (SST-AT650R-BF-WBW),650W / 80+BRONZE / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (12 Pin) / 4xPCIe (6+2 Pin),5Y,2150
620W.-750W.,POWER SUPPLY (80+ BRONZE) 650W ASUS TUF GAMING,650W / 80 PLUS BRONZE / Non Modular,6Y,2390
620W.-750W.,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P650SS (GP-650SS),650W / 80+Silver / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (12 Pin) / 2xPCIe (6+2 Pin),3Y,1620
620W.-750W.,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),650W / 80+Silver / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (12 Pin) / 2xPCIe (6+2 Pin),3Y,1620
620W.-750W.,POWER SUPPLY (80+ GOLD) 650W GIGABYTE PG5 (PCIE 5.1),650W / 80+GOLD / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 1xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1990
620W.-750W.,POWER SUPPLY (CYBENETICS PLATINUM) 650W CORSAIR RM650E (CP-9020302-NA),650W / CYBENETICS PLATINUM / Full Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 3xPCIe (6+2 Pin),7Y,3400
620W.-750W.,POWER SUPPLY (FULL) 700W AEROCOOL SUPERB,700 WATT / FULL WATT / Non Modular,3Y,1290
620W.-750W.,POWER SUPPLY (80+ WHITE) 700W COOLER MASTER ELITE NEX MWE 230V (MPW-7001-ACBW),700W / 80+White / NO Modular / Length 140mm / 1xCPU / 1xPCIe (6+2 Pin),3Y,1390
620W.-750W.,POWER SUPPLY (80+ WHITE) 700W SILVERSTONE (ST70F-ES230),700W / 80 PLUS WHITE / Length 140mm / Non Modular,3Y,1690
620W.-750W.,POWER SUPPLY (80+ BRONZE) 700W ITSONAS AURORA ARGB,700W / 80 PLUS BRONZE / Full Modular,3Y,2090
620W.-750W.,POWER SUPPLY (FULL) 750W ANTEC ATOM V750,750W / Full / Length 140mm / 1xCPU / 2xPCIe (6+2 Pin),2Y,1290
620W.-750W.,POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,750W / 80 PLUS WHITE / Length 150mm / Non Modular,3Y,1570
620W.-750W.,POWER SUPPLY (80+ WHITE) 750W SILVERSTONE (SST-ST750-EF),750W / 80 PLUS WHITE / Non Modular / Length 140mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 4xPCIe (6+2 Pin),3Y,1650
