category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M PRO RS DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4550
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M DS3H DDR5 (REV. 1.2),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 2xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4590
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M DS3H DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 2xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4590
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M DS3H ICE DDR5 (REV. 1.0),Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 2xM.2 Slots / Micro ATX / 1xHDMI / 2xDisplayPort / 1xLAN 2.5Gb,Socket AM5,3Y,4590
AMD AM5 (B650 - B850),MAINBOARD (AM5) COLORFUL BATTLE-AX B850M-PLUS S WIFI7 V14 DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 2xSATA / 4xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,4850
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M PRO-A WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,4690
AMD AM5 (B650 - B850),MAINBOARD (AM5) MSI PRO B850M-P-WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 5Gb / WiFi 7,Socket AM5,3Y,5150
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M PRO RS WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 6E,Socket AM5,3Y,5290
AMD AM5 (B650 - B850),MAINBOARD (AM5) GIGABYTE B850M EAGLE WIFI6E DDR5 (rev. 1.1),,Socket AM5,3Y,5590
AMD AM5 (B650 - B850),MAINBOARD (AM5) ASROCK B850M STEEL LEGEND WIFI DDR5,Socket AM5 / AMD B850 / 4xDDR5 / 1xPCIe 5.0 / 4xSATA / 3xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 2.5Gb / WiFi 7,Socket AM5,3Y,5650
