category_headsets,name_headsets,specifications_headsets,warranty_headsets,price_headsets
GAMING HEADSET,IN EAR HEADPHONE HYPERX CLOUD EARBUDS II RED,"AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz / Microphone Frequency Response : 100Hz-6,300 Hz",2Y,850
GAMING HEADSET,IN EAR HEADPHONE LOGITECH G333 BUFFY BLACK,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,2Y,1050
GAMING HEADSET,IN EAR HEADPHONE LOGITECH G333 BUFFY WHITE,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,2Y,1050
GAMING HEADSET,HEADSET OKER G225 GAMING BLACK (2.1),USB 2.0 / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,1Y,240
GAMING HEADSET,HEADSET OKER G225 GAMING WHITE (2.1),USB 2.0 / Aux 3.5 mm / Stereo 2.1 / Speaker frequency response : 20Hz-20KHz / Microphone frequency response : 100Hz-10KHz,1Y,240
GAMING HEADSET,HEADSET OKER X99 BLACK (2.1),AUX 3.5 mm / Stereo 2.1 / Speaker frequency response : 20Hz-20KHz / Microphone frequency response : 20-16KHz,1Y,290
GAMING HEADSET,HEADSET AULA S605 BLACK (2.1),USB2.0 / AUX 3.5 mm / Stereo 2.1 / Speaker Frequency Response : 20Hz-20kHz,2*2*0,329
GAMING HEADSET,HEADSET EGA TYPEH15 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz / EGA Software Support,2Y,390
GAMING HEADSET,HEADSET ONIKUMA KURUMI BLACK (7.1),USB Type-C to USB Type-A / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz,2Y,390
GAMING HEADSET,HEADSET ONIKUMA X29 GAMING RGB 3.5mm BLACK (2.1),Aux 3.5mm / Stereo 2.1 / Speaker frequency response > 20 Hz-20 KHz,2Y,449
GAMING HEADSET,HEADSET SIGNO HP833 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,1Y,450
GAMING HEADSET,HEADSET SIGNO HP833 WHITE (7.1),USB 2.0 / Surround 7.1 / Speaker frequency response > 20 Hz-20 KHz / Microphone frequency response 100 Hz-10 KHz,1Y,450
GAMING HEADSET,HEADSET EGA TYPE H12 BLACK (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 20Hz-20kHz,2Y,470
GAMING HEADSET,HEADSET EGA TYPE H12 WHITE (7.1),USB 2.0 / Surround 7.1 / Speaker Frequency Response : 20Hz-20kHz,2Y,470
