brand_cpu,name_cpu,benchmark_cpu,rank_cpu,value_cpu,socket_cpu,price_cpu,core_count,thread_count
Intel,Intel Core i3-8300 @ 3.70GHz,6368,2068,54.56,LGA 1151v2,3632.0152,4,4
Intel,Intel Core i3-8300T @ 3.20GHz,5378,2292,33.84,LGA 1151v2,4946.524,4,4
Intel,Intel Core i3-8350K @ 4.00GHz,6925,1962,45.16,LGA 1151v2,4772.252,4,4
Intel,Intel Core i3-9100 @ 3.60GHz,6600,2018,70.13,LGA 1151v2,2928.7032,4,4
Intel,Intel Core i3-9100F @ 3.60GHz,6703,2004,67.03,LGA 1151v2,3111.6888,4,4
Intel,Intel Core i3-9100HL @ 1.60GHz,3454,2805,15.35,LGA 1151v2,7002,4,4
Intel,Intel Core i3-9100T @ 3.10GHz,5630,2227,46.15,LGA 1151v2,3796.64,4,4
Intel,Intel Core i3-9100TE @ 2.20GHz,4589,2468,37.62,LGA 1151v2,3796.64,4,4
Intel,Intel Core i3-9300 @ 3.70GHz,7075,1930,78.61,LGA 1151v2,2800.8,4,4
Intel,Intel Core i3-9300T @ 3.20GHz,6323,2083,44.22,LGA 1151v2,4450.16,4,4
Intel,Intel Core i3-9320 @ 3.70GHz,7358,1880,34.12,LGA 1151v2,6711.6504,4,4
Intel,Intel Core i3-9350K @ 4.00GHz,7596,1842,50.85,LGA 1151v2,4648.3944,4,4
Intel,Intel Core i3-9350KF @ 4.00GHz,7602,1841,54.69,LGA 1151v2,4325.68,4,4
Intel,Intel Core i5-10400 @ 2.90GHz,11986,1424,99.07,LGA 1200,3765.2088,6,12
Intel,Intel Core i5-10400F @ 2.90GHz,12110,1419,120.02,LGA 1200,3140.008,6,12
Intel,Intel Core i5-10400T @ 2.00GHz,9800,1595,53.85,LGA 1200,5663.84,6,12
Intel,Intel Core i5-10500 @ 3.10GHz,13001,1363,90.52,LGA 1200,4469.7656,6,12
Intel,Intel Core i5-10500E @ 3.10GHz,11368,1473,58.3,LGA 1200,6068.4,6,12
Intel,Intel Core i5-10500T @ 2.30GHz,10173,1562,101.74,LGA 1200,3111.6888,6,12
Intel,Intel Core i5-10500TE @ 2.30GHz,8864,1692,45.45,LGA 1200,6068.4,6,12
Intel,Intel Core i5-10600 @ 3.30GHz,13561,1320,41.09,LGA 1200,10270.2224,6,12
Intel,Intel Core i5-10600K @ 4.10GHz,14249,1258,91.93,LGA 1200,4823.2888,6,12
Intel,Intel Core i5-10600KF @ 4.10GHz,14125,1274,59.75,LGA 1200,7357.3904,6,12
Intel,Intel Core i5-10600T @ 2.40GHz,11535,1462,54.15,LGA 1200,6628.56,6,12
Intel,Intel Core i5-11400 @ 2.60GHz,16661,1124,118.4,LGA 1200,4379.2064,6,12
Intel,Intel Core i5-11400F @ 2.60GHz,16890,1113,158.31,LGA 1200,3320.1928,6,12
Intel,Intel Core i5-11400T @ 1.30GHz,13072,1356,71.82,LGA 1200,5663.84,6,12
Intel,Intel Core i5-11500 @ 2.70GHz,17069,1104,85.77,LGA 1200,6192.88,6,12
Intel,Intel Core i5-11500T @ 1.50GHz,12725,1380,66.27,LGA 1200,5975.04,6,12
Intel,Intel Core i5-11600 @ 2.80GHz,17948,1052,128.2,LGA 1200,4356.8,6,12
Intel,Intel Core i5-11600K @ 3.90GHz,19512,957,115.46,LGA 1200,5259.28,6,12
Intel,Intel Core i5-11600KF @ 3.90GHz,19444,961,122.36,LGA 1200,4945.2792,6,12
Intel,Intel Core i5-11600T @ 1.70GHz,14447,1245,67.83,LGA 1200,6628.56,6,12
Intel,Intel Core i5-12400,18786,994,97.84,LGA 1700,5975.04,6,12
Intel,Intel Core i5-12400F,19585,950,122.42,LGA 1700,4978.8888,6,12
Intel,Intel Core i5-12400T,15551,1180,103.68,LGA 1700,4667.6888,6,12
Intel,Intel Core i5-12490F,20376,907,133.22,LGA 1700,4759.804,6,12
Intel,Intel Core i5-12500,19732,944,97.68,LGA 1700,6286.24,6,12
Intel,Intel Core i5-12500E,20585,891,91.49,LGA 1700,7002,6,12
Intel,Intel Core i5-12500HL,23366,748,83.75,LGA 1700,8682.48,12,16
Intel,Intel Core i5-12500T,16347,1137,80.92,LGA 1700,6286.24,6,12
Intel,Intel Core i5-12500TE,15440,1185,75.32,LGA 1700,6379.6,6,12
Intel,Intel Core i5-12600,21343,845,77.61,LGA 1700,8557.6888,6,12
Intel,Intel Core i5-12600HE,22827,766,72.47,LGA 1700,9802.8,12,16
Intel,Intel Core i5-12600HL,23615,736,75.93,LGA 1700,9678.32,12,16
Intel,Intel Core i5-12600K,27557,591,148.57,LGA 1700,5772.4488,10,16
Intel,Intel Core i5-12600KF,27547,592,125.5,LGA 1700,6830.5288,10,16
Intel,Intel Core i5-13400,23820,730,53.41,LGA 1700,13879.2088,10,16
Intel,Intel Core i5-13400F,25005,676,138.16,LGA 1700,5632.4088,10,16
Intel,Intel Core i5-13400T,20224,917,91.51,LGA 1700,6877.52,10,16
Intel,Intel Core i5-13490F,26583,625,153.33,LGA 1700,5395.2744,10,16
Intel,Intel Core i5-13500,31007,486,110.97,LGA 1700,8695.8616,14,20
Intel,Intel Core i5-13500E,25718,653,109.44,LGA 1700,7313.2,14,20
Intel,Intel Core i5-13500T,22571,782,97.29,LGA 1700,7219.84,14,20
Intel,Intel Core i5-13500TE,20483,897,87.16,LGA 1700,7313.2,14,20
Intel,Intel Core i5-13600,31472,470,123.42,LGA 1700,7935.6,14,20
Intel,Intel Core i5-13600HE,23483,742,74.08,LGA 1700,9865.04,12,16
Intel,Intel Core i5-13600HRE,14591,1236,42.05,LGA 1700,10798.64,12,16
Intel,Intel Core i5-13600K,37570,367,130.06,LGA 1700,8989.6344,14,20
Intel,Intel Core i5-13600KF,37401,369,102.47,LGA 1700,11358.8,14,20
Intel,Intel Core i5-13600T,28107,569,110.23,LGA 1700,7935.6,14,20
Intel,Intel Core i5-14400,25242,669,90.21,LGA 1700,8708.3096,10,16
Intel,Intel Core i5-14400F,25606,658,115.34,LGA 1700,6908.64,10,16
Intel,Intel Core i5-14400T,20809,871,94.16,LGA 1700,6877.52,10,16
Intel,Intel Core i5-14500,31024,485,70.51,LGA 1700,13692.4888,14,20
Intel,Intel Core i5-14500T,22884,764,98.64,LGA 1700,7219.84,14,20
Intel,Intel Core i5-14600,32428,452,127.17,LGA 1700,7935.6,14,20
Intel,Intel Core i5-14600K,38492,354,121.82,LGA 1700,9833.6088,14,20
Intel,Intel Core i5-14600KF,38522,353,142.68,LGA 1700,8402.0888,14,20
Intel,Intel Core i5-14600T,27180,605,106.59,LGA 1700,7935.6,14,20
Intel,Intel Core i5-2300 @ 2.80GHz,3467,2801,157.67,LGA 1155,684.3288,4,4
Intel,Intel Core i5-2310 @ 2.90GHz,3664,2736,76.99,LGA 1155,1481.0008,4,4
Intel,Intel Core i5-2320 @ 3.00GHz,3687,2732,141.21,LGA 1155,812.5432,4,4
Intel,Intel Core i5-2390T @ 2.70GHz,2498,3279,25,LGA 1155,3108.888,2,4
Intel,Intel Core i5-2400 @ 3.10GHz,3864,2662,32.75,LGA 1155,3672.16,4,4
Intel,Intel Core i5-2400S @ 2.50GHz,3188,2927,28.93,LGA 1155,3429.1128,4,4
Intel,Intel Core i5-2405S @ 2.50GHz,3400,2830,22.67,LGA 1155,4666.444,4,4
Intel,Intel Core i5-2500 @ 3.30GHz,4099,2592,98.38,LGA 1155,1296.7704,4,4
Intel,Intel Core i5-2500K @ 3.30GHz,4142,2574,60.02,LGA 1155,2147.28,4,4
Intel,Intel Core i5-2500S @ 2.70GHz,3376,2844,61,LGA 1155,1722.1808,4,4
Intel,Intel Core i5-2500T @ 2.30GHz,2929,3057,32.55,LGA 1155,2800.4888,4,4
Intel,Intel Core i5-2550K @ 3.40GHz,4228,2555,91.12,LGA 1155,1443.968,4,4
Intel,Intel Core i5-3330 @ 3.00GHz,4101,2590,23.84,LGA 1155,5352.3288,4,4
Intel,Intel Core i5-3330S @ 2.70GHz,3913,2644,130.47,LGA 1155,933.2888,4,4
Intel,Intel Core i5-3340 @ 3.10GHz,4254,2551,32.73,LGA 1155,4044.044,4,4
Intel,Intel Core i5-3340S @ 2.80GHz,3964,2629,52.85,LGA 1155,2334,4,4
Intel,Intel Core i5-3450 @ 3.10GHz,4514,2485,47.52,LGA 1155,2956.4,4,4
Intel,Intel Core i5-3450S @ 2.80GHz,4401,2515,51.17,LGA 1155,2676.32,4,4
Intel,Intel Core i5-3470 @ 3.20GHz,4661,2449,84.75,LGA 1155,1711.6,4,4
Intel,Intel Core i5-3470S @ 2.90GHz,4373,2521,24.31,LGA 1155,5597.8656,4,4
Intel,Intel Core i5-3470T @ 2.90GHz,3004,3020,11.13,LGA 1155,8400.844,2,4
Intel,Intel Core i5-3475S @ 2.90GHz,4325,2532,17.3,LGA 1155,7778.444,4,4
Intel,Intel Core i5-3550 @ 3.30GHz,4787,2425,14.29,LGA 1155,10425.2,4,4
Intel,Intel Core i5-3550S @ 3.00GHz,4458,2497,22.41,LGA 1155,6191.324,4,4
Intel,Intel Core i5-3570 @ 3.40GHz,4929,2397,78.26,LGA 1155,1960.2488,4,4
Intel,Intel Core i5-3570K @ 3.40GHz,4972,2390,50.22,LGA 1155,3080.88,4,4
Intel,Intel Core i5-3570S @ 3.10GHz,4689,2442,78.17,LGA 1155,1866.8888,4,4
Intel,Intel Core i5-4400E @ 2.70GHz,3251,2900,12.22,LGA 1150,8277.92,2,4
