form_factor_case,brand_case,model_name_case,description_case,warranty_case,price_case
ATX,CORSAIR,AIR 5400 LX-R LINK TEMPERED GLASS BLACK (CC-9011320-WW),No Power / 3xUSB / Fan Support Front 3(0)/Top 3(0)/Rear 1(0)/Bottom 3(3) / Side 0(0) / Bay 3.5''x1 / 2.5''x2,2Y,9200
ATX,CORSAIR,AIR 5400 LX-R LINK TEMPERED GLASS WHITE (CC-9011321-WW),No Power / 3xUSB / Fan Support Front 3(0)/Top 3(0)/Rear 1(0)/Bottom 3(3) / Side 0(0) / Bay 3.5''x1 / 2.5''x2,2Y,9200
ATX,CORSAIR,ICUE LINK 5000T LX RGB MID TOWER BLACK (CC-9011298-WW),No Power / 5xUSB / Fan Support Front 3(3)/Side 3(0)/Rear 1(0)/Top 3(0) / Bay 5.25''x0/3.5''x2/2.5''x3,2Y,11790
ATX,CORSAIR,ICUE LINK 5000T LX RGB MID TOWER WHITE (CC-9011299-WW),No Power / 5xUSB / Fan Support Front 3(3)/Side 3(0)/Rear 1(0)/Top 3(0) / Bay 5.25''x0/3.5''x2/2.5''x3,2Y,11790
E-ATX,CORSAIR,FRAME 4000D AIRFLOW WHITE (CC-9011291-WW),No Power / 3xUSB / Fan Support Front 3(0)/Top 3(0)/Rear 1(0)/Side 3(0) / Bottom 2(0) / Bay 3.5''x2 / 2.5''x4,2Y,2990
E-ATX,CORSAIR,FRAME 4000D AIRFLOW RS BLACK (CC-9011312-WW),No Power / 3xUSB / Fan Support Front 3(3)/Top 3(0)/Rear 1(0)/Side 3(0) / Bottom 2(0) / Bay 3.5''x2 / 2.5''x4,2Y,3150
E-ATX,CORSAIR,FRAME 4000D AIRFLOW RS WHITE (CC-9011313-WW),No Power / 3xUSB / Fan Support Front 3(3)/Top 3(0)/Rear 1(0)/Side 3(0) / Bottom 2(0) / Bay 3.5''x2 / 2.5''x4,2Y,3150
E-ATX,CORSAIR,FRAME 4000D AIRFLOW RS ARGB WHITE (CC-9011297-WW),No Power / 3xUSB / Fan Support Front 3(3)/Top 3(0)/Rear 1(0)/Side 3(0) / Bottom 2(0) / Bay 3.5''x2 / 2.5''x4,2Y,3550
E-ATX,G.SKILL,MD1 WHITE,No Power / 3xUSB / Fan Support Front 3(3)/Top 3(0)/Rear 1(0)/PSU Shroud 0(0) / Bay 3.5''x2/2.5''x2,2Y,3500
E-ATX,DEEPCOOL,CH780 WHITE,No Power / 5xUSB / Fan Support Front 0(0)/Top 3(0)/Rear 0(0)/Side 3(3) / Bottom 3(0) / Bay 3.5''x2 / 2.5''x2,1Y,4950
E-ATX,ASUS,PROART PA602 WOOD EDITION,No Power / 5xUSB / Fan Support Front 2(2)/Top 3(0)/Rear 1(1)/Side 0(0) / Bottom 0(0) / Bay 3.5'' / 2.5'' x8,2Y,12500
